playerid,yearid,votedby,ballots,needed,votes,inducted,category,needed_note
vaughar01,1985,Veterans,NULL,NULL,NULL,Y,Player,NULL
mccovwi01,1986,BBWAA,425,319,346,Y,Player,NULL
doerrbo01,1986,Veterans,NULL,NULL,NULL,Y,Player,NULL
lombaer01,1986,Veterans,NULL,NULL,NULL,Y,Player,NULL
willibi01,1987,BBWAA,413,310,354,Y,Player,NULL
hunteca01,1987,BBWAA,413,310,315,Y,Player,NULL
dandrra99,1987,Veterans,NULL,NULL,NULL,Y,Player,NULL
stargwi01,1988,BBWAA,427,321,352,Y,Player,NULL
benchjo01,1989,BBWAA,447,336,431,Y,Player,NULL
yastrca01,1989,BBWAA,447,336,423,Y,Player,NULL
barlial99,1989,Veterans,NULL,NULL,NULL,Y,Umpire,NULL
schoere01,1989,Veterans,NULL,NULL,NULL,Y,Player,NULL
palmeji01,1990,BBWAA,444,333,411,Y,Player,NULL
morgajo02,1990,BBWAA,444,333,363,Y,Player,NULL
carewro01,1991,BBWAA,443,333,401,Y,Player,NULL
perryga01,1991,BBWAA,443,333,342,Y,Player,NULL
jenkife01,1991,BBWAA,443,333,334,Y,Player,NULL
lazzeto01,1991,Veterans,NULL,NULL,NULL,Y,Player,NULL
veeckbi99,1991,Veterans,NULL,NULL,NULL,Y,Pioneer/Executive,NULL
seaveto01,1992,BBWAA,430,323,425,Y,Player,NULL
fingero01,1992,BBWAA,430,323,349,Y,Player,NULL
mcgowbi99,1992,Veterans,NULL,NULL,NULL,Y,Umpire,NULL
newhoha01,1992,Veterans,NULL,NULL,NULL,Y,Player,NULL
jacksre01,1993,BBWAA,423,318,396,Y,Player,NULL
carltst01,1994,BBWAA,456,342,436,Y,Player,NULL
durocle01,1994,Veterans,NULL,NULL,NULL,Y,Manager,NULL
rizzuph01,1994,Veterans,NULL,NULL,NULL,Y,Player,NULL
schmimi01,1995,BBWAA,460,345,444,Y,Player,NULL
ashburi01,1995,Veterans,NULL,NULL,NULL,Y,Player,NULL
dayle99,1995,Veterans,NULL,NULL,NULL,Y,Player,NULL
hulbewi99,1995,Veterans,NULL,NULL,NULL,Y,Pioneer/Executive,NULL
willivi01,1995,Veterans,NULL,NULL,NULL,Y,Player,NULL
bunniji01,1996,Veterans,NULL,NULL,NULL,Y,Player,NULL
fostebi99,1996,Veterans,NULL,NULL,NULL,Y,Player,NULL
hanlone01,1996,Veterans,NULL,NULL,NULL,Y,Manager,NULL
weaveea99,1996,Veterans,NULL,NULL,NULL,Y,Manager,NULL
niekrph01,1997,BBWAA,473,353,380,Y,Player,NULL
foxne01,1997,Veterans,NULL,NULL,NULL,Y,Player,NULL
lasorto01,1997,Veterans,NULL,NULL,NULL,Y,Manager,NULL
wellswi99,1997,Veterans,NULL,NULL,NULL,Y,Player,NULL
suttodo01,1998,BBWAA,473,355,386,Y,Player,NULL
davisge01,1998,Veterans,NULL,NULL,NULL,Y,Player,NULL
dobyla01,1998,Veterans,NULL,NULL,NULL,Y,Player,NULL
macphle99,1998,Veterans,NULL,NULL,NULL,Y,Pioneer/Executive,NULL
roganbu99,1998,Veterans,NULL,NULL,NULL,Y,Player,NULL
ryanno01,1999,BBWAA,497,373,491,Y,Player,NULL
brettge01,1999,BBWAA,497,373,488,Y,Player,NULL
yountro01,1999,BBWAA,497,373,385,Y,Player,NULL
cepedor01,1999,Veterans,NULL,NULL,NULL,Y,Player,NULL
chylane99,1999,Veterans,NULL,NULL,NULL,Y,Umpire,NULL
seleefr99,1999,Veterans,NULL,NULL,NULL,Y,Manager,NULL
willijo99,1999,Veterans,NULL,NULL,NULL,Y,Player,NULL
fiskca01,2000,BBWAA,499,375,397,Y,Player,NULL
perezto01,2000,BBWAA,499,375,385,Y,Player,NULL
andersp01,2000,Veterans,NULL,NULL,NULL,Y,Manager,NULL
mcphebi01,2000,Veterans,NULL,NULL,NULL,Y,Player,NULL
steartu99,2000,Veterans,NULL,NULL,NULL,Y,Player,NULL
winfida01,2001,BBWAA,515,387,435,Y,Player,NULL
puckeki01,2001,BBWAA,515,387,423,Y,Player,NULL
mazerbi01,2001,Veterans,NULL,NULL,NULL,Y,Player,NULL
smithhi99,2001,Veterans,NULL,NULL,NULL,Y,Player,NULL
smithoz01,2002,BBWAA,472,354,433,Y,Player,NULL
murraed02,2003,BBWAA,496,372,423,Y,Player,NULL
cartega01,2003,BBWAA,496,372,387,Y,Player,NULL
molitpa01,2004,BBWAA,506,380,431,Y,Player,NULL
eckerde01,2004,BBWAA,506,380,421,Y,Player,NULL
boggswa01,2005,BBWAA,516,387,474,Y,Player,NULL
sandbry01,2005,BBWAA,516,387,393,Y,Player,NULL
suttebr01,2006,BBWAA,520,390,400,Y,Player,NULL
brownra99,2006,Negro League,NULL,NULL,NULL,Y,Player,NULL
brownwi02,2006,Negro League,NULL,NULL,NULL,Y,Player,NULL
coopean99,2006,Negro League,NULL,NULL,NULL,Y,Player,NULL
grantfr99,2006,Negro League,NULL,NULL,NULL,Y,Player,NULL
hillpe99,2006,Negro League,NULL,NULL,NULL,Y,Player,NULL
mackebi99,2006,Negro League,NULL,NULL,NULL,Y,Player,NULL
manleef99,2006,Negro League,NULL,NULL,NULL,Y,Pioneer/Executive,NULL
mendejo99,2006,Negro League,NULL,NULL,NULL,Y,Player,NULL
pompeal99,2006,Negro League,NULL,NULL,NULL,Y,Pioneer/Executive,NULL
poseycu99,2006,Negro League,NULL,NULL,NULL,Y,Pioneer/Executive,NULL
santolo99,2006,Negro League,NULL,NULL,NULL,Y,Player,NULL
suttlmu99,2006,Negro League,NULL,NULL,NULL,Y,Player,NULL
taylobe99,2006,Negro League,NULL,NULL,NULL,Y,Player,NULL
torricr99,2006,Negro League,NULL,NULL,NULL,Y,Player,NULL
whiteso99,2006,Negro League,NULL,NULL,NULL,Y,Pioneer/Executive,NULL
wilkijl99,2006,Negro League,NULL,NULL,NULL,Y,Pioneer/Executive,NULL
wilsoju99,2006,Negro League,NULL,NULL,NULL,Y,Player,NULL
ripkeca01,2007,BBWAA,545,409,537,Y,Player,NULL
gwynnto01,2007,BBWAA,545,409,532,Y,Player,NULL
gossari01,2008,BBWAA,543,408,466,Y,Player,NULL
dreyfba99,2008,Veterans,NULL,NULL,NULL,Y,Pioneer/Executive,NULL
kuhnbo99,2008,Veterans,NULL,NULL,NULL,Y,Pioneer/Executive,NULL
omallwa99,2008,Veterans,NULL,NULL,NULL,Y,Pioneer/Executive,NULL
southbi01,2008,Veterans,NULL,NULL,NULL,Y,Manager,NULL
willidi02,2008,Veterans,NULL,NULL,NULL,Y,Manager,NULL
henderi01,2009,BBWAA,539,405,511,Y,Player,NULL
riceji01,2009,BBWAA,539,405,412,Y,Player,NULL
gordojo01,2009,Veterans,NULL,NULL,NULL,Y,Player,NULL
dawsoan01,2010,BBWAA,539,405,420,Y,Player,NULL
herzowh01,2010,Veterans,NULL,NULL,NULL,Y,Manager,NULL
harvedo99,2010,Veterans,NULL,NULL,NULL,Y,Umpire,NULL
alomaro01,2011,BBWAA,581,436,523,Y,Player,NULL
blylebe01,2011,BBWAA,581,436,463,Y,Player,NULL
gillipa99,2011,Veterans,NULL,NULL,NULL,Y,Pioneer/Executive,NULL
larkiba01,2012,BBWAA,573,430,495,Y,Player,NULL
santoro01,2012,Veterans,NULL,NULL,NULL,Y,Player,NULL
ruperja99,2013,Veterans,NULL,NULL,NULL,Y,Pioneer/Executive,NULL
odayha01,2013,Veterans,NULL,NULL,NULL,Y,Umpire,NULL
whitede01,2013,Veterans,NULL,NULL,NULL,Y,Player,NULL
coxbo01,2014,Veterans,NULL,NULL,NULL,Y,Manager,NULL
larusto01,2014,Veterans,NULL,NULL,NULL,Y,Manager,NULL
torrejo01,2014,Veterans,NULL,NULL,NULL,Y,Manager,NULL
maddugr01,2014,BBWAA,571,429,555,Y,Player,NULL
glavito02,2014,BBWAA,571,429,525,Y,Player,NULL
thomafr04,2014,BBWAA,571,429,478,Y,Player,NULL
johnsra05,2015,BBWAA,549,412,534,Y,Player,NULL
martipe02,2015,BBWAA,549,412,500,Y,Player,NULL
smoltjo01,2015,BBWAA,549,412,455,Y,Player,NULL
biggicr01,2015,BBWAA,549,412,454,Y,Player,NULL
griffke02,2016,BBWAA,440,330,437,Y,Player,NULL
piazzmi01,2016,BBWAA,440,330,365,Y,Player,NULL
bagweje01,2017,BBWAA,442,332,381,Y,Player,NULL
raineti01,2017,BBWAA,442,332,380,Y,Player,NULL
rodriiv01,2017,BBWAA,442,332,336,Y,Player,NULL
seligbu99,2017,Veterans,NULL,NULL,NULL,Y,Pioneer/Executive,NULL
schurjo99,2017,Veterans,NULL,NULL,NULL,Y,Pioneer/Executive,NULL
jonesch06,2018,BBWAA,422,317,410,Y,Player,NULL
guerrvl01,2018,BBWAA,422,317,392,Y,Player,NULL
thomeji01,2018,BBWAA,422,317,379,Y,Player,NULL
hoffmtr01,2018,BBWAA,422,317,337,Y,Player,NULL
morrija02,2018,Veterans,NULL,NULL,NULL,Y,Player,NULL
trammal01,2018,Veterans,NULL,NULL,NULL,Y,Player,NULL
